id	review	score
103	To NIE JEST dobry musical.... Tyle miesięcy czekania.....na co? W swoim życiu obejrzałam kilkadziesiąt musicali, gatunek ten znam od podszewki. Naprawdę mnie nie zachwyca/nie olśniewa. Dziwię się tak pozytywnym ocenom na portalu i generalnie w świecie (7 Złotych Globów? Proszę.....). Przyjemny? Owszem, ale nic po za tym. Ogromne rozczarowanie....	6
104	Film to arcydzieło - delikatne, urocze, magiczne! Oczekiwania miałam ogromne (po Whiplashu i po tych wszystkich nominacjach i nagrodach) - i dostałam film, który uderzył mnie w serce!! Tak ogólnie to był film o marzycielach. Ale to uproszczenie. Był to film o miłości - ale to także nie wszystko. Było o wyborach i cenie marzeń - a ostatnie marzenie- uderzyło mnie w serce! Był to musical - a melodia na fortepianie ...	10
105	Smutne zakończenie. Świetna muzyka, doskonała gra aktorska, ale niestety zakończenie trochę mnie rozczarowana.	8
106	takie sobie la la la Film średni, ogólnie łatwy , lekki i przyjemny w odbiorze i nic po za tym, te 14 nominacji do Oscarów tyle samo co dla Titanica to jakiś żart i zniewaga dla dzieła Camerona.	5
107	Kocham scenę otwarcia i już. Porywa mnie muzycznie i wizualnie, zachwyca robota operatora, reżysera i całej ekipy. No rewelacyjnie im wyszło.	9
108	9/10 z dużym serduszkiem obok. Zauroczył mnie. Muzycznie film jest doskonały! City of Stars stanie się kultowym kawałkiem. Czarujący musical o marzeniach i poświęceniach.	9
109	Zly film Zly film i jeszcze gorszy musical. Staszny, oklepany badziew. Muzyka labiutka, wykonania przecietne. Daleko, daleko za Moulin Rouge! czy Skrzypkiem na dachu, a nawet ostatnia wersja Nedznikow. Infantylny, nudny, bez polotu - typowy gniot dla przecienego widza.	2
110	La La Ladne zamieszanie zrobili w okół filmu.... Po filmie, który zdobył tak wiele nominacji do różnych nagród, w tym tyle Oscarowych, można się spodziewać dużo więcej. Film oczywiście ma swoje plusy i minusy, jednak tych negatywnych rzeczy jest dużo więcej. Fabuła nijaka, nie ma jakiegoś szczególnego wątku. Nie wiadomo czy to film o miłości, śpiewaniu, muzyce, walce o marzeniach. Na początku pełno kolorów, a ...	6
111	La la land 9/10 Mi osobiście film bardzo się spodobał, ale zdania są podzielone, zresztą jak zwykle. Dziś film dostał aż 14 nominacji do Oskara i niektórzy się z tym wcale nie zgadzają. Jednak nie może w końcu być taki beznadziejny za nic nie dostałby tyle nominacji i może o to chodzi że ten film nie jest skierowany do nas(tzn. nie w tym sensie że od razu nam się nie spodoba) tylko bardziej do amerykanów i to ...	9
112	CUDO! Przecudowna historia dwóch marzycieli dażących ciągle do celu. Przepiękna muzyka, magiczny klimat filmu... Wzruszajacy koniec. Świetna gra aktorska, nic dodać nic ująć. Film oceniam na 9/10, REWELACJA! Kazdemu polecam.	9
113	Abba w kinie oglądając film miałem wrażenie, że twórcy robili ten film jak pod konkurs Eurowizji (tam 90% wykonań jest jakby specjalnie pisane pod formułę programu - trochę Abby, trochę wzniosłości, ale i humoru, plus szczypta folkloru itd) Tutaj mamy: dajmy trochę stylu lat 50 złotej ery hollywood, motyw amerykańskiego snu, motyw miłosny.., przynajmniej jeden Oskar murowany. dla mnie kicz wylewający się litrami, choć ...	4
114	Brawo Brawo !! Sześć Oskarów to świetny wynik. Genialny film . Dla mnie wygrywa w każdej kategorii.	10
115	Długo zwlekałem Myslalem ze ten cały zachwyt tym filmem jest jakiś sztuczny i słyszałem różne opinie wielu osobom sie podobało a nie, które sobie zasnęły. Ja jestem zachwycony, muzyka jest genialna, Emma gra świetnie, film trochę przenosi do innego świata, każda scena w tym filmie była potrzebna. Naprawdę majstersztyk! Polecam i to bardzo !	10
116	Oj...żebyście się nie zachlysnęli..n Ja nie wiem skąd taki zachwyt...przeciętny musical...i tyle daje 5/10...	7
117	Kim był ten krasnoludek z oscarów? Kim był ten krasnoludek, który tak krzyczał: to nie jest żart i pokazał kartkę z napisem Moonlight? Chyba po raz pierwszy na Oscarach widziałem prawdziwe emocje! Polać mu!	9
118	Oscary 2017 czyli największa wpadka w historii kina Jedno jest pewne. Przez najbliższe lata ta historia będzie krążyć od ust do ust i wszyscy będą się zastanawiać co tak naprawdę się stało. Kto pakował te koperty że w kopercie dla najlepszego filmu znalazło się nazwisko zdobywczyni oscara dla najlepszej aktorki? Strasznie mi żal twórców i obsady La La Landu. Zaczęli już dziękować wszystkim, rodzinie przyjaciołom, a tu ...	10
119	Chazelle znowu zachwycił Po świetnym Whiplash czekałem na nowy film tego reżysera. Zgodzę, że La La Land to przerost formy nad treścią, ale ta forma ujmuje widza. Scenariusz to kolejna historia o marzycielach w Hollywood. Film broni się jednak świetną muzyką, zdjęciami i solidnym aktorstwem. Nawiązania do klasyki kina tylko podkreślają jego wyjątkowość.	8
120	Wehikuł czasu... Od momentu, w którym po raz pierwszy usłyszałam o tym filmie, wiedziałam że to będzie coś niezwykłego. Zwiastun, wypowiedzi aktorów, dziennikarzy i znawców sztuki filmowej, ta cała otoczka sugerowała, że to zdecydowanie moje kino. Nie pomyliłam się. Ekranizacja reklamowana jako film dla marzycieli idealnie wpasował się w mój gust. Gust marzycielki z ogromnym szacunkiem do starego kina. Poruszone tu ...	10
121	Wywiad https://www.youtube.com/watch? v=3E-Q5IVCirA bardzo ciekawy. Ciekawe wyjaśnienie zakończenia.	10
122	8/10 dobry i wciagajacy Nie przepadam za musicalami, dlatego podchodzilem do tej produkcji z duzym dystansem. Nudza mnie z reguly te watki ze spiewaniem i przez to jakosc wytracam sie z fabuly. Podobnie bylo rowniez i w tym przypadku. Pierwsza polowa filmu byla troszke taka ospala. Historia typowa dla musicali, tylko ze inni aktorzy, inne piosenki i inna sceneria. Jednak z biegiem czasu zaczela wciagac mnie ta ...	8
123	La La land Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	10
124	Dobry Ciekawie opowiedziana historia . Kariera czy miłość. Świetny muzycznie, rewelacyjne taneczne choreografie, ale nie do końca poczułem ta miażdżąca nastrojowość jaka powinna być w tego typu filmach. Dla mnie 7/10 było dobrze,ale jeszcze mi tam czegoś zabrakło.	7
125	Nienawidzę miusicali,ALE......... naprawde dobre kino,miłe romantyczne. gdy bohaterowie tańcza i spiewają uśmiech rysuję się na twarzy ,a poza tym wbrew moim obawom ,naprawde fajna i zaskakujaca fabuła.	8
126	Muzyka Czy ktoś orientuje się może jaki utwór grał na pianinie Sebastian? Mam na myśli moment kiedy Mia wchodzi do klubu i zamiera pod wpływem tego właśnie utworu, sam Sebastian został chwilę później zwolniony z pracy...jezeli dobrze zrozumiałem to za wykonanie tego właśnie utworu. Melodię tą wykonywał również kilkakrotnie w innych momentach filmu. Trochę przypomina Ojca Chrzestnego, jeżeli miałoby to kogoś ...	10
127	cz na pewno najlepszy film? Film niewątpliwie ma swój klimat, ale spodziewałam się czegoś innego - musicalu z pozytywnym przesłaniem Pierwsza scena na autostradzie urzeka rozmachem (taniec, muzyka, ilość aktorów), miała być trzęsieniem ziemi, po którym napięcie będzie rosło, niestety w dalszej części filmu napięcie stale spadało. Dla mnie było za mało muzyki i piosenek jak na musical, żadnej nie zapamiętałam. Klimat ...	5
128	Urok kina lat 50 -tych Jak dla mnie to film rewelacja. Gdzieś wyczuwa się w nim ten urok musicali lat 50 -tych. Miejscami , jak np po wyjściu z przyjęcia , magia kina z czasów  Deszczowej piosenki aż bije w oczy. Ścieżka dźwiękowa doskonała. Trafi na półkę z ulubionymi filmami.	9
129	Niezly, ale czy zasluguje na Oscara...? Podobal mi sie, moim zdaniem gra aktorska byla swietna, widac bylo, ze film dluzo wymagal od aktorow, ale nie wiem czy statuetka za najlepszy film sie nalezy...	6
130	Najnudniejsza randka EVER i to w walentynki Poszedłem na romantyczną randkę. Co przeżyłem? Zawód roku, po tylu nominacjach, pytam za co ? Za kilka uśmiechów Ryana? Za grę Emmy ? No bez przesady... Za muzykę, która nie porwała do tańca? Za flaki z olejem? Jestem romantykiem, potrafię wzruszać się ale ani ja ani moja dziewczyna nie wyszliśmy z kina zachwyceni. Szkoda bo oczekiwania mieliśmy, choć nie za duże - ...	3
131	Bajeczny :) Cudowny, bajeczny, magiczny i wzruszający. Piękna historia, GENIALNA muzyka i wspaniała gra aktorska. Nie chciałam, żeby się kończył :) Polecam wszystkim fanom musicali. Film zapada w pamięci na długo. Wspominałam już, że muzyka jest genialna?	9
132	Szukam piosenki :) Hej, jak nazywa się piosenka którą Mia zamówiła na imprezie żeby upokorzyć Sebastiana. Dzięki za pomoc	10
133	Dałem szansę Dawno nie oglądałem żadnego musicala, dałem szansę temu i... pozytywne zaskoczenie! :D No i Emma...:) ------------------------------ --- Zapraszam do subskrybcji youtube/channel/UCLYTGBn_Y3eck X_Oe1LNIAQ/featured	8
134	La La Land Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	7
135	14 nominacji do Oscara... Jak ten film otrzyma Oscara za najlepszy film to ja się zastrzele....w przenośni :-). Toż to najsłabszy film z pośród 9 nominowanych. A z drugiej strony historia pokazuje że Oscara nie otrzymuje najlepszy film. Cóż Hamerica :-) Ten film nie powinien miec nominacj w kat najlepszy film. Pozostałe nominowane świetne a trzy rewelacyjne: Manchester, Moonlight, Lion. Oczywiscie tak to widzę ...	4
136	A miało być tak pięknie... Słyszałam wiele opinii o filmie La La Land. Większość z nich było pozytywnych. Jako, że lubię musicale, postanowiłam wybrać się do kina. Kupiłam bilet i tak oto znalazłam się na sali kinowej, siedząc w wygodnym fotelu i czekając na cudowną muzyczno - filmową przygodę. Taka się zapowiadała już od pierwszej sceny na autostradzie - nie wnosi ona nic istotnego do fabuły filmu, jednak wprawia ...	5
137	... Specyficzny... pewnie, dlatego że to musical. Zaskakujące zakończenie. W niektórych momentach miałam wrażenie, że główni bohaterowie fałszują. Jest to coś w tym filmie, ale chyba nie wrócę do niego ponownie.	6
138	Lekkie rozczarowanie. Bardzo dobra końcówka. Na minus, bardzo mało różnorodnych utworów jak na musical. Może 6 piosenek, a resztę to ciągnący się motyw muzyczny. Piosenki nie były również rewelacyjne.	6
139	6/10 i tyle.. Jak Dla mnie... To Romansidło, scenariusz ?? Marny.. Gra aktorska ? Dobra ... I nic wiecej .. Trochę na końcu smutny. Ale na pewno aktorzy sie poświećili dla tych ról, Dziesiątki godzin pracy na planie. Dla mnie mocne 6 !	6
140	Magia To film magiczny. Taki, który zmienia ludzkie życie i zapada głęboko w pamięć. Chce się do niego wrócić już zaraz po zakończeniu seansu. Na trwałe wpisał się kanonu filmów, które skradły moje serce, może nawet zajmuje w nim pierwsze miejsce...	10
141	Czarujący (uwaga, trochę spoilsów) Poszedłem na film ze swoją partnerką i może dlatego miał większą siłę rażenia :) Pod względem scenariusza słabiutki, w środku nudnawy, żeby jednak zwieńczyć się mocnym akcentem. Aż za mocnym, człowiek jak natrafia na podobne uczucie w swoim życiu, to wie, że szczęśliwe zakończenia nie są przesłodzone. Wiadomo, że z drugiej strony jakby wrócili do siebie, to dziecko miałoby niemałą ...	7
142	Słabizna Czytam recenzje na tej stronie i oczy przecieram ze zdumienia - moze bylismy na roznych filmach? La la land zaczyna sie wspaniale i ma sie nadzieje na nową Gorączkę sobotniej nocy, ale potem jest już tylko coraz gorzej. Aktorzy? No cóż, Ryan Gossling nadrabia troszeczke, milo jest na niego popatrzec, ale w przypadku Emmy Stone po prostu łatwo uwierzyc, że oblewa kolejne castingi- jak dla mnie jest ...	3
143	Pytanie odnośnie kolorów i montażu, które wpływają na ocenę. Zachwycił mnie film przede wszystkim ładnymi obrazkami. Czy scena z trailera (czyt. taniec przy wschodzie Słońca na tle całego miasta), a właściwie tło nie było czasem doklejone, czy istnieje naprawdę takie miejsce? Poza tym, pewnie zauważyliście mnóstwo fioletu w różnych odcieniach, który dodaje klimatu. Czy dany fiolet powstał za pomocą dodania ...	8
144	Znany motyw muzyczny Kojarzę z dawnych lat motyw muzyczny z utworu Engagement party. Szybsza i weselsza jego wersja leci również w zwiastunie filmu w telewizji. Czy ktoś wie, skąd on pierwotnie pochodzi?	8
145	Veni vidi flevit Znowu go obejrzałem. I coś rzuciło mi się w oczy. Na forum rozstrzygana jest podstawowa kwestia - dlaczego Mia nie jest ze Sebastianem. Dlaczego Sebastian nie pojechał z Mia do Paryża. Myślę że rozstanie nastąpiło wcześniej, podczas kłótni. Na ławce ostatnie (prawie) ich zdanie to:zawszę będę cię kochał. Ja ciebie też. To właściwie pożegnanie.	10
146	6/10 Muzyka, scenografia i gra aktorska świetna, plus za niebanalne zakończenie, które mi i większości osób z wycieczki szkolnej się bardzo spodobało, lecz koledzy obok mnie go komplemie nie rozumieli, a koleżanki z drugiej strony bardzo się zawiodły. Fabuła jak i cały film bardzo nudna. Parę osób na sali kinowej po prostu zasnęło. Film się ciągnął i zanudzał. Zakochałem się jednak w ścieżce dźwiękowej i to go ratuje.	7
147	Rozmazany obraz Nie wiem, czy też to zauważyliście, ale jak były pokazany ruch, gdy kamera śledziła postać, to obraz był tak rozmazany (jak gdyby na przemian ostry i nieostry), że aż kręciło mi się w głowie. To wina kina, kopii, czy film tak ma wyglądać?	7
148	nie przyszłoby mi do głowy iść na musical , ale obejrzałam i ...rozmarzyłam się ! Piękny film , kolorowy, o marzeniach, miłości , życiu , okraszony świetną muzyką , trochę humorystyczny - nie warto słuchać niepochlebnych opinii , bo sam film może nie jest arcydziełem , ale jego przekaz dotyka serca	8
149	!! Jest to moja piersza recenzja. Osobiście będąc przekonym dla nieco specyficzych komedii dramatów etc... byłem przekonany iż La La Land będzie moim największym kinowym rozczarowaniem. Jednakżę wielce zdziwionym będę gdy przysiadam do recenzji tego filmu i stwierdzam iż będąc przyzwyczajony do współczesnych mjusikli mogę temu wystawić 10/10. Nie tylko zachwyca tu pełno planowana rola Emmy Stone jak i ...	10
150	Scena w muzeum/planetarium Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	8
151	All that hate Film miał być z założenia prosty, przyjemny, z fajną muzyką. I jest. Muzyka jest świetna, również para głównych aktorów jest świetna (zwłaszcza Emma). Ja wyszedłem z kina oczarowany. Na te 2 godziny seansu czułem się, jakbym został przeniesiony do lat 50. do czasów świetności musicali, które charakteryzowały się tą lekkością, magią i bezpretensjonalnością. Damien Chazelle dał nam to, za czym tak bardzo ...	10
152	Dwa podejścia Jako, że nienawidzę wręcz musicali, to podchodziłem do tego filmu w zasadzie dwa razy, bo za pierwszym tak mnie znudził, że stwierdziłem, że dotrwanie do końca graniczy z cudem. Dziwi mnie tak wysoki zachwyt nad tym filmem. Jest on grubo przereklamowany, a nominacja do Oscara pojawiła się tylko dlatego, że musical jest czymś oryginalnym w dzisiejszym komercyjnym przemyśle filmowym. Inną sprawą są ...	5
153	Kiedy na Blu-Ray? Byłem, widziałem, słyszałem, chcę jeszcze raz... Wie ktoś&nbsp;kiedy jest zapowiedziana premiera na krążku Blu-Ray? edit: Ok znalazłem; kwiecień 2017	9
154	nie wiem ... Gosling zagrał poprawnie ale nie rzuca na kolana. Muzycznie natomiast dużo lepszy od Emmy Stone. Wręcz jestem zaskoczony jego umiejętnością grania na fortepianie. Film generalnie zrealizowany znakomicie. Wszystko dograne w najlepszym hollywoodzkim stylu. Świetna muzyka, płynnie zrealizowane sceny, scenariusz z przesłaniem i dozą prozy życia każdego z nas. Czy jest to film wybitny ? Trudno stwierdzić. ...	8
155	W krainie La La Land Tak więc z niewielkim opóźnieniem dotarłam na jeden z popremierowych pokazów La La Land. Zbierałam się od ponad dwóch tygodnie. Cóż mogę powiedzieć... Ciężko w sposób oczywisty opisać ten film. Jest to bowiem historia o marzycielach, dla marzycieli. La La Land to film, którego nie można w żaden sposób sklasyfikować. Porównanie do jakiegokolwiek innego dzieła to błąd. Moim zdaniem to jakby nowy ...	10
156	.... Zwykła wręcz banalna,oklepana historyjka ale cała reszta zdjęcia,scenografia,muzyka gra aktorów naprawdę rewelacyjna...	9
157	Przesłanie zakończenia. Was tez zabolało? Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	9
158	Rewelacyjny! Na plakacie jest napisane, że dla marzycieli więc nie rozumiem osób, które piszą negatywne komentarze. Trzeba było nie iść jak nimi nie jesteście! O to chodzi, że film wyłącznie do takich osób jest skierowany- romantyków i marzycieli, a nie do niedojrzałych gimbusów! W kinie oczywiście znalazło się takich dookoła, nie można było oddać się całkowicie filmowi, bo gadali że nie rozumieją o co chodzi, ...	9
159	Fiat 500 i Maluch w drugim planie! Love! :D	8
160	Musicale? Wczoraj - nie, Dziś? Poproszę W zasadzie nie wiem czy jest to musical. W początkowej fazie filmu drżałem o to czy nie będzie 2 godzin śpiewania, ale na szczęście z czasem lekki musical w zwiewnych kolorowych sukienkach zmienił się w głębszy film muzyczny. W drugiej części filmu na prawdę trudno było usłyszeć na sali jakikolwiek szum czy szelest, a ja uświadomiłem sobie, że skreślanie musicali nie było ...	9
161	Złamane serce Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	10
162	Świat potrzebował La La Land? Mam takie wrażenie, że taki pozytywny, inspirujący i hipnotyzujący film był teraz potrzebny bardziej niż jakikolwiek inny	9
163	Marzyciele Właśnie jestem świeżo po seansie w kinie. Ja uwielbiam musicale, więc film mi się podobał. Jeszcze myślę nad oceną, waham się pomiędzy 9-10. Mam do Was pytanie - co myślicie o zakończeniu filmu ?	9
164	La la si si do do Jak powiedział Alf- znany kosmita, muzikale są głupie, ni z tego ni z owego ludzie zaczynają śpiewać, ale ten mi się podobał	7
165	Rozkręca się z czasem Koszmarnie nudna pierwsza połowa filmu przeistacza się w całkiem przyzwoitą komedię w drugiej połowie. Lepiej, że w tę stronę. Pomijając milczeniem pierwszą część, druga ma całkiem niebanalną fabułę, dobre dialogi i niezłe zakończenie. Film przetykany występami wokalno-artystycznymi z bardzo bogatą symboliką .. której nie rozumiem, co wcale nie znaczy że jest zła. :-) Niestety sam śpiew i ...	6
166	Już było takie zakończenie... Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	6
167	Chemia Jeden z powtarzających się zarzutów to brak chemii między bohaterami. Ja czuję tyle chemii co w IG Farben ale może się mylę. Czy możecie napisac na czym polega ten brak chemii?	10
168	Ode mnie parę słów na temat filmu http://jackthemoviemaniac.blog spot.com/2017/01/la-la-land-20 16.html	7
169	Cytat o los angeles Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	10
170	Zawód. Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	5
171	Czy tylko mnie kłują w oczy nieostre zbliżenia? Wiele jest ujęć na twarz Emmy Stone, w których to nos, to oczy aktorki wymykają się z głębi ostrości. To rozprasza (zwłaszcza gdy siła kadru opiera się na mimice) i daje poczucie niedbałości, co dziwi w produkcji tego formatu i jeszcze nominowanej do Oscara za zdjęcia. Rozumiem zachwyt nad wizualną stroną filmu oraz fakt, że doceniono pracę operatorską niełatwą, ...	7
172	nudy Nie wiem nad czym się tu zachwycać,po pół godzinie chciałam uciec a po godzinie prosiłam o dobicie. Strata czasu i kasy.	3
173	Teksty Gzie można znaleźć w sieci teksty piosenek?	10
174	Nie mogę się uwolnić od klimatu i co sobie przypomnę zakończenie to jestem zdenerwowana - jeszcze się nie pogodziłam. Czas w kinie minął bardzo szybko, a City of Stars słucham w kółko od powrotu do domu z seansu. 10/10 (+zachwyciłam się Emmą).	10
175	Magiczny Zdecydowanie jeden z najlepszych filmów jakie ostatnio powstały. Interesująca fabuła, wybitna oprawa muzyczna, zjawiskowe aktorstwo - jak najbardziej to kupuję! Jeszcze zakończenie chwytające a serce, 9/10	9
176	10/10 - Najlepszy film ostatnich miesięcy Nie dziwie się że ten film dostał tyle nominacji do Oscara. Polecam.	10
177	Emma Stone, brawa tylko dla niej Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	3
178	Dobry Film jest niezmiernie smaczny, oryginalny, z pewnością inny i niepowtarzalny. Nie jestem fanką musicalu ale muzyka w tym filmie, a tym bardziej ta grana przez głównego bohatera na pianinie, zachwyciła mnie. Taki film wymaga o wiele więcej pracy niż jakaś tam amerykańska komedia. Wymyślanie melodii, słów (tak, aby się rymowały), opracowywanie choreografii, których w filmie nie brakuje no i scenografii. Gra ...	7
179	Laserem po oczach, czyli romans Barbie i Kena Ponieważ musical LLL postrzegam jak perszinga z głowicą masowego rażenia, pokusiłem się o napisanie zjadliwej recenzji; niestety zarówno moja, jak i 18 innych są blokowane - od wielu dni oczekują na weryfikację. Być może stoi za tym nawet lobby zza oceanu ;) . Oni wiedzą, że umoczyli, a jedynym wyjściem jest ucieczka do przodu, czyli obsypanie nagrodami, to może ...	3
180	Już widzę skąd taka ocena na filmwebie... Większość ludzi wypowiadających się tu na temat zwłaszcza muzyki nie ma o niej najmniejszego pojęcia. Każdy ma prawo do wyrażania swoich poglądów, ale BŁAGAM zachowajcie to dla siebie i dla swoich znajomych, jeżeli chcecie być brani na poważnie. Uważam, że film wydawać by się mogło banalny, dostarczył niesamowitych wrażeń wizualnych i słuchowych. Muzyka nie do opisania, ...	10
181	dla uprzedzonych trzeba być uprzedzonym, że jest to musical, czyli wiedzieć czego się spodziewać, a czego nie. Ludzie potrafią na filmie spać i nawet z niego wychodzić. Jak się ma dystans i nie jest się uprzedzonym to da się wytrzymać, a nawet można się wciągnąć bo miejscami jest klimat. .... Z misicali tolerowałem tylko Hair, J.Ch Superstar i Mamma Mia. Nie będę fanem Lalalala, ale wytrzymałem do końca choć o 24 ...	7
182	Prawdziwe oblicze jazzu Czy jest to jedynie film o miłości i cenie jaką trzeba zapłacić za sukces? Chazelle tym razem próbuję pokazać nie tylko ogromne poświęcenie dla pasji lecz ponawia manifest poczęty w ,,Whiplash o tym jak mylnie w dzisiejszych czasach postrzegany jest jazz. W moim odczuciu jest to rodzaj rewolucji, która pod efektowną i przyciągającą osłoną ma na celu uświadamianie coraz większego grona o tym ...	9
183	jprdl co sie zobaczylo sie nie odzobaczy..niestety jesli ten syf dostanie oscara..nie wroc sam fakt nominacji to powod, zeby ludzkosc wydrapala mozgi nosem, oczy lyzeczka i poprzebijala bebenki, bo juz im nie beda potrzebne..swiat schodzi na psy, widz oczekuje i chce coraz mnie i słabiej.	4
184	techniczne zachwyty, fabularne zgrzyty - plusy i minusy Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	7
185	Dla ludzi, którzy nie lubią musicali - ten film tego nie zmieni!!! Zmarnowana godzina życia, bo na drugiej połowie już spałem. Denny, nudny i typowo amerykański :/ Nie wiem skąd tak wysokie oceny tego filmu.	1
186	masa Nominowany do Oscara w 14 kategoriach? Nie rozumiem fasycnacjii tym filmem, historia spoko, ale Nowy początek przebija wszystko, jak na poczatku widze ze kobieta w korku zaczyna spiewac, to przy wspomnianym filmie, ktory od poczatku do konca momentami przeraza to az ciezko mi w to uwierzyc.	5
187	Strata Csazu What a bore! Ode to Hollywood...meh...	2
188	dobra obsada to nie wszystko, scenariusz a szczególnie końcówka filmu to jakiś kosmos po obejrzeniu filmu mam ogromny niedosyt bo marzyłem o tym, że gdy wyjdę z kina powiem sobie i innym fajny lekki film, godny polecenia, a tutaj stwierdziliśmy zgodnie ze znajomymi że film jest godny polecenia ale tylko gdy nie masz już co w kinie obejrzeć... ocena 6 to max a marzenia legły w gruzach	5
189	TWARZ Emmy Stone Co się z nią stało? Wygląda inaczej niż w pozostałych filmach, czy tylko ja to widzę :) ?	7
190	Przechwalony Zawiodłam się :/ Zanim poszłam wszyscy mnie namawiali, mówili jaki to genialny... może właśnie dlatego mi się nie spodobał. Zazwyczaj lubię musicale, więc to jeszcze dziwniejsze. Powód może być jeszcze jeden, po prostu pamiętam naszą cudowną parę aktorów z Kocha, lubi, szanuje i nieodłącznie, zawsze będą związani z tym obrazem. Niemniej jednak nie podobało misię i czuję, że zmarnowałam 2h życia. ...	3
191	Baśń z dramatem w tle Przepiękna opowieść o sile marzeń, znaczeniu niewinnych słów i trudności wyboru. Do tego musicalowa, baśniowa otoczka, która wciąga w zupełnie nieziemską rzeczywistość. Dlatego nie dziwią mnie liczne nominacje do Oscarów, któż by się nie zauroczył? Zdziwię się jednak, jeśli którąś z głównych statuetek ten film otrzyma. Jest przyjemny i wzruszający, idealny, by obejrzeć i zapomnieć o trudnym ...	7
192	Smacznie i kolorowo, ale czy to ten poziom? Film osobiście mi jest bliski, bo kiedyś byłem muzykiem jazzowym, myślałem tak samo i znam zgrzyty rodzinne mało zarabiającego muzyka. Nie wiem czemu, ale do porównania na myśl mi przyszły filmy Kabare z Lizą Minelli, Cotton Club. Oglądałem te filmy, kiedy byłem nastolatkiem i dobrze pamiętam, jak duże wrażenie wywarły na mnie, zwłaszcza Kabare. Moim zdaniem film ...	6
193	lekkie rozczarowanie Nie wiem skąd tyle nominacji do nagród i zachwytu? Film jest lekki i przyjemny ale z nóg nie powala. Whiplash jak dla mnie zdecydowanie lepszy a z musicali wybieram kultowe Dźwieki muzyki Rozumiem hołd składany hollywoodowi i amerykańskiemu przemysłowi filmowemu jednak idea jakoś do mnie nie trafiła. Mocną strona filmu pozostaje muzyka i jak dla mnie jest największym atutem tego obrazu.	6
194	Podobno wieść o tańczącym i śpiewającym Goslingu dotarła do raju. Fred Astaire zwymiotował Geneowi Kelly na buty.	3
195	Czy tylko u mnie na seansie ludzie wychodzili grupami? Tak jak w temacie? W sumie nie dziwi mnie to, przez pierwsze 30 minut zastanawiałam się czy nie wyjść również, obejrzałam cały i... po filmie została mi w pamięci i krąży do teraz piosenka City of Stars. Najjaśniejszy punkt całego filmu.	7
196	Czegoś jednak zabrakło... Każdy marzyciel tworzy swoje własne uniwersum, na które mogą składać się nawet najbardziej absurdalne wykreowane przez wyobraźnię zdarzenia - istotnym punktem jest ich znaczenie. Niestety, w filmie La la land niektóre odstępstwa od rzeczywistości wydawały się mdłe i sztuczne, na przykład taniec głównych bohaterów na tle galaktyki. Miały być marzenia, a wyszedł kicz. Niby coś tam tańczą, ...	7
197	fiat 126p w filmie Ile samochodów marki 126p udało się wam podczas oglądania dostrzec?????????????	9
198	Ambiwalentne odczucia... Dokładnie tak. Po powrocie z kina mam mieszane odczucia. Szedłem podbudowany tą całą pompą z nagrodami, nominacjami i zachwytami, a wróciłem trochę jakby oszukany. Film owszem, dość oryginalny i nietypowy jak na te czasy, gra aktorska na wysokim poziomie, no i rozbrajająca muzyka, ale nic więcej. Przecież to już było. Asterowski musical z kiczowatymi motywami żywcem przeniesionymi z filmów z ...	7
199	Dobry, ale bez rewelacji Jestem po seansie i mogę napisać, że film dobry, fajnie zrealizowany i oglądało się przyjemnie. Natomiast do arcydzieła mu daleko i nie rozumiem aż takich zachwytów. 14 nominacji do Oscara to jednak lekka przesada. No ale jak napisałem, film dobry.	7
200	nie wiem co powiedzieć Dawno nie wyszedłem z kina tak bardzo rozczarowany...ten cały hype niestety szkodzi filmowi. La la land przez 3/4 czasu jest naprawdę nudny.Piosenki raczej nie wpadają w ucho. Najbardziej przereklamowany film tego roku jak dla mnie ;/	8
201	Dlaczego takie zakończenie ? Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	7
202	Niezły ale nie rozumiem ogólnego zachwytu . Zacznę od plusów : - więcej rozmów niż tańca i śpiewu . Nie jest to typowy musical i bardzo się z tego cieszę bo naprawdę nie lubie musicali ..te muzyczne wstawki irytują jak reklamy na polsacie .. -Film ma w sobie pewien urok ,magię ,miło się na niego patrzy - Zakończenie pozytywnie mnie zaskoczyło Minusy : -Na początku wieje nudą ,film wolno się rozkręca -brak ...	6
203	Wątpliwości co do zakończenia. Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	9
